"Allianz Trade Country Risk Ratings
Guadeloupe,AA,1 (Low)
Guam,A,1 (Low)
Guatemala,B,1 (Low)
Guinea (Rep Of),D,4 (High)
Guinea Bissau,D,4 (High)
Guyana,B,1 (Low)
Haiti,D,4 (High)
Heard and McDonald Islands,AA,1 (Low)
Honduras,C,2 (Medium)
Hong Kong,BB,1 (Low)
Hungary,B,1 (Low)
Iceland,A,2 (Medium)
India,B,1 (Low)
Country,"Medium-Term Rating
(Country Grade)","Short-Term Rating
(Country Risk Level)"
Indonesia,B,1 (Low)
Iran,D,4 (High)
Iraq,D,4 (High)
Ireland,AA,1 (Low)
Israel,B,1 (Low)
Italy,A,2 (Medium)
Jamaica,B,2 (Medium)
Japan,A,1 (Low)
Jordan,C,3 (Sensitive)
Kazakhstan,C,3 (Sensitive)
Kenya,C,3 (Sensitive)
Kiribati,D,3 (Sensitive)
Kuwait,B,2 (Medium)
Kyrgyzstan,D,3 (Sensitive)
Laos,D,4 (High)
Latvia,A,2 (Medium)
Lebanon,D,4 (High)
Lesotho,C,3 (Sensitive)
Liberia,D,4 (High)
Libya,D,4 (High)
Liechtenstein,AA,1 (Low)
Lithuania,A,2 (Medium)
Luxembourg,AA,1 (Low)
Macao,BB,1 (Low)
Madagascar,C,3 (Sensitive)
Malawi,D,4 (High)
Malaysia,BB,1 (Low)
Maldives,C,3 (Sensitive)
Mali,D,4 (High)
Malta,A,1 (Low)
Marshall Islands,D,4 (High)
Martinique,AA,1 (Low)
Mauritania,D,3 (Sensitive)
Mauritius,B,3 (Sensitive)
Mayotte,AA,1 (Low)
Mexico,BB,2 (Medium)
Micronesia,C,3 (Sensitive)
Moldova,D,4 (High)
Monaco,AA,1 (Low)
Mongolia,D,3 (Sensitive)
Montenegro,D,3 (Sensitive)
Montserrat,BB,1 (Low)
Morocco,B,1 (Low)
Mozambique,D,4 (High)
Myanmar (Burma),D,4 (High)
Namibia,B,3 (Sensitive)
Nauru,D,4 (High)
Nepal,D,4 (High)
Netherlands,AA,1 (Low)
New Caledonia,A,1 (Low)
New Zealand,AA,1 (Low)
Country,"Medium-Term Rating
(Country Grade)","Short-Term Rating
(Country Risk Level)"
Nicaragua,C,3 (Sensitive)
Niger,D,4 (High)
Nigeria,D,3 (Sensitive)
Niue,B,2 (Medium)
Norfolk Island,A,1 (Low)
North Korea,D,4 (High)
North Macedonia,C,2 (Medium)
Northern Mariana Islands,A,1 (Low)
Norway,AA,1 (Low)
Oman,B,1 (Low)
Pakistan,D,4 (High)
Palau,C,3 (Sensitive)
Panama,BB,2 (Medium)
Papua New Guinea,D,4 (High)
Paraguay,B,1 (Low)
Peru,B,2 (Medium)
Philippines,B,1 (Low)
Pitcairn Islands,A,1 (Low)
Poland,BB,2 (Medium)
Portugal,A,1 (Low)
Puerto Rico,BB,3 (Sensitive)
Qatar,BB,1 (Low)
Reunion,AA,1 (Low)
Romania,B,3 (Sensitive)
Russia,D,4 (High)
Rwanda,C,2 (Medium)
Samoa,B,3 (Sensitive)
San Marino,A,2 (Medium)
Sao Tome & Principe,C,3 (Sensitive)
Saudi Arabia,BB,1 (Low)
Senegal,C,3 (Sensitive)
Serbia,B,2 (Medium)
Seychelles,C,2 (Medium)
Sierra Leone,D,4 (High)
Singapore,AA,1 (Low)
Slovakia,A,1 (Low)
Slovenia,A,1 (Low)
Solomon Islands,D,4 (High)
Somalia,D,4 (High)
South Africa,B,3 (Sensitive)
South Georgia/Sandwich Islands,AA,1 (Low)
South Korea,A,1 (Low)
South Sudan,D,4 (High)
Spain,AA,1 (Low)
Sri Lanka,D,4 (High)
St Helena,A,1 (Low)
St. Kitts & Nevis,C,2 (Medium)
St. Lucia,C,2 (Medium)
St. Maarten,B,2 (Medium)
St. Pierre Et Miquelon,A,1 (Low)
St. Vincent & The Grenadines,C,3 (Sensitive)
Country,"Medium-Term Rating
(Country Grade)","Short-Term Rating
(Country Risk Level)"
Sudan,D,4 (High)
Suriname,D,3 (Sensitive)
Svalbard & Jan Mayen,A,1 (Low)
Sweden,AA,1 (Low)
Switzerland,AA,1 (Low)
Syria,D,4 (High)
Taiwan,A,1 (Low)
Tajikistan,D,3 (Sensitive)
Tanzania,C,2 (Medium)
Thailand,B,1 (Low)
Timor Leste,D,4 (High)
Togo,C,3 (Sensitive)
Tokelau,A,1 (Low)
Tonga,D,4 (High)
Trinidad & Tobago,B,2 (Medium)
Tunisia,D,4 (High)
Turkey,B,3 (Sensitive)
Turkmenistan,D,4 (High)
Turks & Caicos,A,1 (Low)
Tuvalu,C,3 (Sensitive)
Uganda,C,3 (Sensitive)
Ukraine,D,4 (High)
United Arab Emirates,A,1 (Low)
United Kingdom,AA,1 (Low)
United States,AA,1 (Low)
Uruguay,BB,1 (Low)
US Minor Outlying Islands,AA,1 (Low)
US Virgin Islands,A,1 (Low)
Uzbekistan,D,3 (Sensitive)
Vanuatu,C,4 (High)
Vatican City,AA,1 (Low)
Venezuela,D,4 (High)
Vietnam,B,2 (Medium)
Wallis & Futuna,A,1 (Low)
Yemen,D,4 (High)
Zambia,D,4 (High)
Zimbabwe,D,4 (High)
